,ID,E_Brent,NE_C1,M1_C1,M2_C1,SW_C1,costo_gel,reg_f,BE_F
75,75.0,20.0,1.0,0.0,1.0,1.0,4.2,1.0,9.296796569823815
76,76.0,20.0,1.0,1.0,0.0,0.0,4.2,1.0,11.775227304826178
77,77.0,20.0,1.0,1.0,0.0,1.0,4.2,1.0,11.495177321294856
78,78.0,20.0,1.0,1.0,1.0,0.0,4.2,1.0,10.612151985881281
79,79.0,20.0,1.0,1.0,1.0,1.0,4.2,1.0,10.534126413986915
80,80.0,20.0,0.0,0.0,0.0,0.0,5.4,1.0,20.0
81,81.0,20.0,0.0,0.0,0.0,1.0,5.4,1.0,9.789234337603055
82,82.0,20.0,0.0,0.0,1.0,0.0,5.4,1.0,9.56144226447852
83,83.0,20.0,0.0,0.0,1.0,1.0,5.4,1.0,9.592969662785016
84,84.0,20.0,0.0,1.0,0.0,0.0,5.4,1.0,13.264851203517292
85,85.0,20.0,0.0,1.0,0.0,1.0,5.4,1.0,12.693810758766038
86,86.0,20.0,0.0,1.0,1.0,0.0,5.4,1.0,11.227541516453984
87,87.0,20.0,0.0,1.0,1.0,1.0,5.4,1.0,11.110638691903116
88,88.0,20.0,1.0,0.0,0.0,0.0,5.4,1.0,9.561441266177255
89,89.0,20.0,1.0,0.0,0.0,1.0,5.4,1.0,9.635520284393552
90,90.0,20.0,1.0,0.0,1.0,0.0,5.4,1.0,9.561442048053092
91,91.0,20.0,1.0,0.0,1.0,1.0,5.4,1.0,9.58593579577276
92,92.0,20.0,1.0,1.0,0.0,0.0,5.4,1.0,12.192542522496211
93,93.0,20.0,1.0,1.0,0.0,1.0,5.4,1.0,11.897963558087014
94,94.0,20.0,1.0,1.0,1.0,0.0,5.4,1.0,10.969338225986775
95,95.0,20.0,1.0,1.0,1.0,1.0,5.4,1.0,10.887249924132336
